CREȚU Gabriela
ALBERTINI Gabriele
PREUSS Gabriele
STAUNER Gabriele
ZIMMER Gabriele
LANDSBERGIS Gabrielius
CARROZZO Gaetano
DUIN Garrelt
TITLEY Gary
FRANCO Gaston
PARIGI Gastone
MITCHELL Gay
ANDRIA Generoso
FRAISSE Geneviève
GRABOWSKA Genowefa
WIŚNIOWSKA Genowefa
VAN ORDEN Geoffrey
JARZEMBOWSKI Georg
MAYER Georg
BECALI George
LYON George
VARNAVA George
CUTAȘ George Sabin
VELLA George William
BACH Georges
BERTHU Georges
DE BRÉMOND D'ARS Georges
GAROT Georges
BLIZNASHKI Georgi
PIRINSKI Georgi
ANASTASSOPOULOS Georgios
EPITIDEIOS Georgios
GEORGIOU Georgios
GKIKOPOULOS Georgios
KARATZAFERIS Georgios
KATROUGKALOS Georgios
KOUMOUTSAKOS Georgios
KYRTSOS Georgios
PAPANIKOLAOU Georgios
PAPASTAMKOS Georgios
STAVRAKAKIS Georgios
TASOU Georgios
TOUSSAS Georgios
ANDREJEVS Georgs
HÄFNER Gerald
BATTEN Gerard
COLLINS Gerard
BIANCO Gerardo
FERNÁNDEZ-ALBOR Gerardo
GALEOTE Gerardo
GERBRANDY Gerben-Jan
GAIGG Gerfrid
BOTZ Gerhard
HAGER Gerhard
SCHMID Gerhard
ANNEMANS Gerolf
MEISSNER Gesine
ȘERBU Gheorghe Vergil
LEOPARDI Giacomo
SANTINI Giacomo
D'ANDREA Giampaolo V.E.
GOBBO Gian Paolo
BONIPERTI Gian Piero
LIGABUE Giancarlo
SCOTTÀ Giancarlo
DELL'ALBA Gianfranco
FINI Gianfranco
BUONANNO Gianluca
SUSTA Gianluca
DE MICHELIS Gianni
PITTELLA Gianni
TAMINO Gianni
VATTIMO Gianni
DE VRIES Gijs M.
CHICHESTER Giles
LEBRETON Gilles
PARGNEAUX Gilles
SAVARY Gilles
TREMATERRA Gino
DIDŽIOKAS Gintaras
UGGIAS Giommaria
CALÒ Giorgio
CAROLLO Giorgio
CELLI Giorgio
LA MALFA Giorgio
LISI Giorgio
NAPOLITANO Giorgio
RUFFOLO Giorgio
DIMITRAKOPOULOS Giorgos
GRAMMATIKAKIS Giorgos
KATIFORIS Giorgos
PAPAKONSTANTINOU Giorgos
CORDA Giovanna
BARBAGALLO Giovanni
BERLINGUER Giovanni
COLLINO Giovanni
LA VIA Giovanni
PROCACCI Giovanni
RIVERA Giovanni
ROBUSTI Giovanni
TOTI Giovanni
BURTONE Giovanni M.S.
FARASSINO Gipo
KALLENBACH Gisela
MOREAU Gisèle M.H.
SEEBERG Gitte
MOI Giulia
CHIESA Giulietto
FANTUZZI Giulio
BOVA Giuseppe
BRIENZA Giuseppe
CASTIGLIONE Giuseppe
DI LELLO FINUOLI Giuseppe
GARGANI Giuseppe
MOTTOLA Giuseppe
NISTICÒ Giuseppe
PISICCHIO Giuseppe
RAUTI Giuseppe
CATANIA Giusto
WILLMOTT Glenis
BEDINGFIELD Glenn
KINNOCK Glenys
FORD Glyn
QUISTHOUDT-ROWOHL Godelieve
BLOOM Godfrey
BETTINI Goffredo Maria
ADAM Gordon J.
KNÖRR BORRÀS Gorka
BOOTH Graham
MATHER Graham
WATSON Graham
STANISZEWSKA Grażyna
CIEMNIAK Grażyna  Jolanta
BODRATO Guido
MILANA Guido
PODESTÀ Guido
SACCONI Guido
VICECONTE Guido
BALAS Guillaume
CARLSSON Gunilla
HÖKMARK Gunnar
KRASTS Guntars
BONO Guy
VERHOFSTADT Guy
HEGYI Gyula
VÁRI Gyula
HÖLVÉNYI György
SCHÖPFLIN György
DEMSZKY Gábor
HARANGOZÓ Gábor
CAUDRON Gérard
D'ABOVILLE Gérard
DEPREZ Gérard
ONESTA Gérard
FÄRM Göran
LÜTTGE Günter
RINSCHE Günter
CARS Hadar
MAIJ-WEGGEN Hanja
FOLTYN-KUBICKA Hanna
DAHL Hanne
SWOBODA Hannes
TAKKULA Hannu
JANSEN Hans
KARLSSON Hans
KRONBERGER Hans
LINDQVIST Hans
MODROW Hans
PÖTTERING Hans-Gert
HENKEL Hans-Olaf
MARTIN Hans-Peter
MAYER Hans-Peter
ETTL Harald
VILIMSKY Harald
DÉSIR Harlem
NASSAUER Hartmut
KEPPELHOFF-WIECHERT Hedwig
D'ANCONA Hedy
RÜHLE Heide
HAUTALA Heidi
SALISCH Heinke
KINDERMANN Heinz
BECKER Heinz K.
MALLOTOVÁ Helena
RÖGNEROVÁ Helena
TORRES MARQUES Helena
VAZ DA SILVA Helena M.
STEVENS Helga
TRÜPEL Helga
RANNER Hella
THORNING-SCHMIDT Helle
KUHNE Helmut
SCHOLZ Helmut
MARKOV Helmuth
PETER Helwin
VIRKKUNEN Henna
DE LASSUS SAINT GENIÈS Henri
WEBER Henri
LAX Henrik
KRISTENSEN Henrik Dam
BÖSCH Herbert
DORFMANN Herbert
REUL Herbert
SCHMID Herman
VERMEER Herman
WINKLER Hermann
FABRE-AUBRESPY Hervé
NOVELLI Hervé
HAWLICEK Hilde
VAUTMANS Hilde
BREYER Hiltrud
KRAHMER Holger
FUNK Honor
NOVO Honório
TOMA Horia-Victor
POSDORF Horst
SCHNELLHARDT Horst
PIRKER Hubert
KERR Hugh
MCMAHON Hugh R.
BAYET Hugues
MARTIN Hugues
FAJMON Hynek
CARRÈRE D'ENCAUSSE Hélène
FLAUTRE Hélène
GOUDIN Hélène
DUNCAN Ian
HUDGHTON Ian
TWINN Ian
WHITE Ian
PAISLEY Ian R.K.
VAN DEN BURG Ieke
IVANOVA Iglika
GUARDANS CAMBÓ Ignasi
CORRAO Ignazio
ŠOLTES Igor
FIGUEIREDO Ilda
GÁLL-PELCZ Ildikó
BRAGHETTO Iles
KYUCHYUK Ilhan
IOTOVA Iliana
IVANOVA Iliana
SCHRÖDER Ilka
SUOMINEN Ilkka
GRAENITZ Ilona
READ Imelda Mary
CZINEGE Imre
BÉREŠ Imrich
TARAND Indrek
VAIDERE Inese
ŠLESERE Inese
GRÄSSLE Ingeborg
SCHÖRLING Inger
SEGELSTRÖM Inger
FRIEDRICH Ingo
SCHMITT Ingo
ANTIČEVIĆ MARINOVIĆ Ingrid
RODRÍGUEZ-PIÑERO FERNÁNDEZ Inmaculada
ILIVITZKY Inna
LEONTINI Innocenzo
AYALA SENDER Inés
ZUBER Inês Cristina
ENCIU Ioan
HĂMBĂȘAN Ioan Lucian
PAȘCU Ioan Mircea
AVEROFF Ioannis
GKLAVAKIS Ioannis
KASOULIDES Ioannis
KOUKIADIS Ioannis
MARINOS Ioannis
PATAKIS Ioannis
SOULADAKIS Ioannis
THEONAS Ioannis
VARVITSIOTIS Ioannis
TSOUKALAS Ioannis A.
MATULA Iosif
GARCÍA PÉREZ Iratxe
BELOHORSKÁ Irena
CREPAZ Irene
SOLTWEDEL-SCHÄFER Irene Barbara Lilia
LAMBRAKI Irini
HOFFMANN Iris
ADINOLFI Isabella
DE MONTE Isabella
LÖVIN Isabella
